enable,empower,facilitate,implement,permit,set up
empower,allow,entitle,entrust,grant,legitimize,permit,vest
facilitate,aid,ease,expedite,further,help,promote,simplify,speed
implement,acheive,carry out,complete,enforce,realize,resolve
permit,accept,authorize,boost,empower,enable,endorse,grant,have,license,sanction,tolerate,warrant
set up,arrange,assemble,begin,build,build up,construct,create,erect,establish,found,inaugurate,initiate,install,institute,organize,prepare
inaugurate,commence,dedicate,induct,initiate,introduce,launch,open,set up
